sample_id,dataset,video_id,frame_index,label_binary,attack_raw,attack_macro,source_path,source_file_sha256,content_group_id,selection_rule
1afed8e230de81fd5ce85a8edc286205b4a4fce3c0f52e18b5bffd4fb9d155cc,casia_fasd,test/spoof/s20vHR_3,52,1,HR_3,print,test/spoof/s20vHR_3f52.png,7e2b73aae8c823858323eecd146076019a6892d6005169d5cfe721679253f88a,,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
654f6a64ca4d6d99d73e07dd52028a17dc514a2230e3af06d5eb45797ba6a123,msu_mfsd,scene01/real/real_client033_laptop_SD_scene01,52,0,,live,scene01/real/real_client033_laptop_SD_scene01.mov,6b7d239ff145a753c03902a2314348bdf74a0ac6e6a6aab87f72f3a17ca59dc2,,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
998a8c4e684b8f850cfeca113028a60a66890ffe66de23405619a05794304b93,msu_mfsd,scene01/real/real_client029_laptop_SD_scene01,50,0,,live,scene01/real/real_client029_laptop_SD_scene01.mov,5b07696c01a0c9e8e3a22794dc02f4e0361b29d0ff79d19c5726019880c45f99,,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
a5161bc2d2db5d5ffab4240838816e14c73b941631fb645f12527db06ae0b592,msu_mfsd,scene01/real/real_client049_laptop_SD_scene01,199,0,,live,scene01/real/real_client049_laptop_SD_scene01.mov,56bd484c13f61ac1b1bb8d2d989480006dd58bfd12da3ae0991ba774c2139173,,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
b55a4ddf130398f0a5806fa38194f37f6d9eb2831b4637da1b3ae9dbe1d08b1f,msu_mfsd,scene01/attack/attack_client003_android_SD_ipad_video_scene01,30,1,ipad_video,replay,scene01/attack/attack_client003_android_SD_ipad_video_scene01.mp4,d6c75ad06e2fd6fbed435241c674ac7b90a381ec2a47d1e5c58b7c06d7ca2fc2,,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
f6bdb5ad92f63dfd7704161504a17a7dba6560889c0e43a96512043fd8ad81ac,msu_mfsd,scene01/attack/attack_client029_laptop_SD_iphone_video_scene01,98,1,iphone_video,replay,scene01/attack/attack_client029_laptop_SD_iphone_video_scene01.mov,66b43702c0093dd39816685833c21e0a667e9b5b9a66b6f57ab67b1ff4c559e8,,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
09cbbfbccb912650a9f02b7242fd447a10c5bf7048b0ec59685e058557586920,siwmv2,Live/Live_750.mp4,93,0,,live,Live/Live_750.mp4,901435595fb3326ca9fd23c840b697d33e02913f47c726893a336d3fd91db94d,siwmv2::sha256:901435595fb3326ca9fd23c840b697d33e02913f47c726893a336d3fd91db94d,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
322276f887a2f5f13be74501e07b681aabf1fc287c194c3a3de03d5394201754,siwmv2,Live/Live_873.mp4,66,0,,live,Live/Live_873.mp4,57fccb44dd5f0963d80a964ad29940be6588e5346fe2ea80bf825adca76123ff,siwmv2::sha256:57fccb44dd5f0963d80a964ad29940be6588e5346fe2ea80bf825adca76123ff,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
354686a3b2df532c384846c88fb3e9c402717bd666b676736515257fd2d53824,siwmv2,Spoof/Paper/Paper_12.mov,3,1,Paper,print,Spoof/Paper/Paper_12.mov,f29c8b719d65d50daa4ac60cc8482677aa0ac0d1464ced0ec05ff6fac1d1f595,siwmv2::sha256:f29c8b719d65d50daa4ac60cc8482677aa0ac0d1464ced0ec05ff6fac1d1f595,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
6a9be8e060bab7f458f31fb693ad62854ee4de3702aacc681539ad0d03d2cd34,siwmv2,Spoof/Replay/Replay_57.mov,19,1,Replay,replay,Spoof/Replay/Replay_57.mov,c212b4d2809f969c8aa8370980db54cc21213a3f4e71088a5e1570646cd4d129,siwmv2::sha256:c212b4d2809f969c8aa8370980db54cc21213a3f4e71088a5e1570646cd4d129,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
765f88128472b55b13b7691a3f79376467b5880c1e8bfb8181adff760372cf4f,siwmv2,Live/Live_85.mov,188,0,,live,Live/Live_85.mov,7cc0d22e6c5bbf200395106426be16a157c6680200b18ac46a23737beb355f30,siwmv2::sha256:7cc0d22e6c5bbf200395106426be16a157c6680200b18ac46a23737beb355f30,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
8783c1c15d7a894490e1e48816828cba2e8e9f8e3c556c10ac0eecbbf63d5fe4,siwmv2,Live/Live_192.avi,79,0,,live,Live/Live_192.avi,970d99da5ee6ec09c835e2c46ddd0a032b83dfc97d63c5603f327e2dd22306f8,siwmv2::sha256:970d99da5ee6ec09c835e2c46ddd0a032b83dfc97d63c5603f327e2dd22306f8,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
c7a153f16b7102c31a8de12f53beb548d632037c1e512e600f7b151d4acd3fbf,siwmv2,Spoof/Mask_TransparentMask/Mask_Trans_46.mov,134,1,Mask_TransparentMask,mask_3d,Spoof/Mask_TransparentMask/Mask_Trans_46.mov,91f3bbb116ea4826e3b9fe059c8d8b9a9596a23a4a000c144c347a88484de7bd,siwmv2::sha256:91f3bbb116ea4826e3b9fe059c8d8b9a9596a23a4a000c144c347a88484de7bd,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
f04496d8d040eb680859c7e574e73a438cfbee25d8fcb4560f973b0e9b10f3ef,siwmv2,Spoof/Makeup_Impersonation/Makeup_Im_58.mov,131,1,Makeup_Impersonation,makeup,Spoof/Makeup_Impersonation/Makeup_Im_58.mov,7b02e8db97464ba3280a468f226e12ef35addd7ff514447bc09da0598e82d223,siwmv2::sha256:7b02e8db97464ba3280a468f226e12ef35addd7ff514447bc09da0598e82d223,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
