dataset,video_id,content_group_id,label_binary,attack_macro,attack_raw,expected_selected_frames,complete_frames,failed_frames,failed_original_frame_indices,complete_original_frame_indices
siwmv2,Spoof/Partial_FunnyeyeGlasses/Partial_Funnyeye_48.mov,siwmv2::sha256:504e6ad90f6956dd70e055026bcf6b09430890ca503c84388f48fbb4bb0c3051,1,partial,Partial_FunnyeyeGlasses,8,7,1,[100],"[15, 32, 49, 66, 83, 117, 134]"
siwmv2,Spoof/Partial_FunnyeyeGlasses/Partial_Funnyeye_57.mov,siwmv2::sha256:b1fb5d3106504019973068e56228e5fb21f413e395f46df76b84862f1ef05fde,1,partial,Partial_FunnyeyeGlasses,8,6,2,"[83, 100]","[15, 32, 49, 66, 117, 134]"
siwmv2,Spoof/Replay/Replay_76.mov,siwmv2::sha256:4567084a6afe8dbe79700dc25f215f124f8bbacac963d46b4b7cbaa0e45e471f,1,replay,Replay,8,7,1,[15],"[32, 49, 66, 83, 100, 117, 134]"
siwmv2,Spoof/Replay/Replay_81.mov,siwmv2::sha256:b473e2772367020361428c577734cb76dfb3c7d64d3e6fe78f8c98d763e97439,1,replay,Replay,8,7,1,[15],"[32, 49, 66, 83, 100, 117, 134]"
siwmv2,Spoof/Replay/Replay_82.mov,siwmv2::sha256:0371e7880a8eb51f526002733fc312cefd1c23a6fd92edce260e962471ae6997,1,replay,Replay,8,7,1,[15],"[32, 49, 66, 83, 100, 117, 134]"
siwmv2,Spoof/Replay/Replay_83.mov,siwmv2::sha256:4567084a6afe8dbe79700dc25f215f124f8bbacac963d46b4b7cbaa0e45e471f,1,replay,Replay,8,7,1,[15],"[32, 49, 66, 83, 100, 117, 134]"
siwmv2,Spoof/Replay/Replay_89.mov,siwmv2::sha256:927ec199663c63e2fd38d9839302ac71c97bc9ba2953c085e56cba4d7187f25e,1,replay,Replay,8,7,1,[15],"[32, 49, 66, 83, 100, 117, 134]"
siwmv2,Spoof/Replay/Replay_90.mov,siwmv2::sha256:c01d2f9498dac36de3de70ade59f1b5fb59d1674360e0f24d28330221c3b2331,1,replay,Replay,8,7,1,[15],"[32, 49, 66, 83, 100, 117, 134]"
siwmv2,Spoof/Replay/Replay_91.mov,siwmv2::sha256:e9b28857f7fca983ed1e28a51afa4f14a9437adf3a7a4b61759b03ed1cdae8ec,1,replay,Replay,8,7,1,[15],"[32, 49, 66, 83, 100, 117, 134]"
siwmv2,Spoof/Replay/Replay_92.mov,siwmv2::sha256:a25993979a0206b5bf2a9bfe2b8d78b3d28fd1335b0b720e75f93b5cbe03dd10,1,replay,Replay,8,7,1,[15],"[32, 49, 66, 83, 100, 117, 134]"
siwmv2,Spoof/Replay/Replay_97.mov,siwmv2::sha256:61efe01ba4519635050b88784faeb98bbe1427eb3a2af6566fdf17125c2e5ac8,1,replay,Replay,8,7,1,[15],"[32, 49, 66, 83, 100, 117, 134]"
siwmv2,Spoof/Replay/Replay_98.mov,siwmv2::sha256:73a775921bc816c8a62fbfa74d9cd31f3128b1bf5b8f5ffa6170789c256e1dbe,1,replay,Replay,8,7,1,[15],"[32, 49, 66, 83, 100, 117, 134]"
siwmv2,Spoof/Replay/Replay_99.mov,siwmv2::sha256:9be29ab0ce8fd426f49a40894149c373b4971dc1af1c9b3d594c3cb824b1fc93,1,replay,Replay,8,7,1,[15],"[32, 49, 66, 83, 100, 117, 134]"
