field,role,shard,rows,bytes,shard_sha256,codec_id,index_sha256,physical_dir
embedding,identity,embedding-00017.bin,256,557056,0f0a292f96838933ae8c8a90cd376ab1e354f21bc933677fbf463461e33619ce,npy1,30cb2083a2cebfb2942ff6413520aeb50186ed7a17d427388bb21d9fc591aedc,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00018.bin,256,557056,293eb5a885ab644f88fb5ad7e2eb6c04f50fc02f9e1aa0e0ab4fef3b41a7bd07,npy1,50212dd9aa010ea667a11c7150cddd38ddb4f9401044cab219cdae6a76b04dd4,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00019.bin,256,557056,adc2bd444707859bae3aed3282af3da335caee7bf9ede8f0acea55d3ef23c040,npy1,f2d7bf0d35a2e3fcb47a921b44aa5f983efb96acbb6b77c29a09407b614a396d,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00020.bin,256,557056,2bb10464f1820a6defdb7d182ba00b95fc87b4168de17396aa47187b80c8c3bb,npy1,9554491f8e8925f6ec777f00747a5d2a47548e5ae78e72d7181723abb11e8f78,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00021.bin,256,557056,59c2606721b2128f0f9b9adfb319251560e1be65008f26ea28b7a701d1f5221e,npy1,9ec2a340c3ddf190bd4cccf22037e5e71285bcd7e57da4cc56ea64a185c5cab7,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00022.bin,256,557056,5a49baa6f747af989624ce4a37b8b5cd0151c46bedbec88d30050aace0ff6d0d,npy1,81b3c7f1d08a9c2ba2996e40a2ad5af48884c251c1c21611d049c8cf523cf8c6,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00023.bin,256,557056,0d2388f52931aa38c0cac9a95ecbee1b6dba9b0af35e92f9902eede637d536f1,npy1,bd1b21e245fbb11d2fe318a1e14828beec5c52f21792f489a5af10bd60911a2d,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00024.bin,256,557056,1b1d7c0f5bafd74efbef51f55c3c43ba2207d0d6956b9a0f48bf799c6298fce0,npy1,2c13a0278bf48482d17abe156dcbe17003da91ed3b11195d2302f602a2e2f9e1,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00025.bin,256,557056,339514f219481912544c581ee63d72b020c0f7857502fd18284cc0b9f49cc9b4,npy1,99226a6024d4b12d163d5e8262f0241f28898c3198cdbb088788f9cf54212390,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00026.bin,256,557056,e8be5b01190f1b1bd083869bddb0dd5a67a39d4ec619260b3a1cac5c5b301d34,npy1,427b68c8124ae3cf62072e63c8c396536d0af42145a82d58040d844d5ec488e9,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00027.bin,256,557056,ca771e067d0936ea7ec51958d6c55e09f65cb4a51804e2e955a2d4c7cf60fbd9,npy1,8b0576ad9c2b207ef0e641b49c93272d9f37d3f3a30689dc84d2acf2150e7df1,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00028.bin,256,557056,a34944b0738be197aa0f3d1575691e3e40503244fc8b8ed5b108a54042d852ae,npy1,e58651f2ab3a00bf13401742d798e74173c20d1a8c0a78893ba33ac3d4cfc904,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00029.bin,256,557056,827a6b7a425a5a68bc8d4be2896117523f4f346979370a58159670ed466f946d,npy1,ebed4f51680c356a6cf439ea428c45eca170a638a27b0f44b22087a03fb6b75c,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00030.bin,256,557056,16cdbbe1d01e6ae2bf03065417e9b8140fe7f648edeb9987b790cb889a5e9566,npy1,1e83def80c3f74f2e1bd84f14ad1b63262127bac577a805f1598747f6f267800,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00031.bin,256,557056,6f2127858eadd717246477b61f42d9e510bfdecbae4b22e94b723273a518fad2,npy1,6dbf4e278caaaaab1f7750d9fda0d97bad66d6a22c7b24ccce0db4335072c92d,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00032.bin,256,557056,bae97d46f42b36a65d1029cc9ef4ecfee3c16df0e7a07909d17af9d42e5e12cb,npy1,fbb37c836e66c0bcc1cc573182dcf1781bdb54fc9bfb273f8eb93eff3a2fa206,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00033.bin,256,557056,56e6ec9bb67f0d3ac958eb88e9bf7c95397daf2d483c6d7064ffddb68aee484c,npy1,319a3ba46983b64c3646ee83b323995439ee214ccf27a69298f1e89b8397a498,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00034.bin,256,557056,2172bfbce3de20e10cf39d39ccb03b7ef8e60b1caf6e28eeeef87151997b856f,npy1,790fa9f5e503dd3c076394788d768eb209b278e9950de0ca0068711d6fd24b00,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00035.bin,256,557056,f6f89be599a3b03a439af91683fec84a55ebc3e0c0014a300616d3e74e2a737e,npy1,2c959f4d9dc238d802ec65dd77450af9045b55873f92b3f3859a23ab84ddedb7,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00036.bin,256,557056,80313212204d4a27f74220bcab6e486a21374e5b93858fc1c79aadead0dc2424,npy1,2b6ed486e576356ee1a4ce46d2dce3d93008b354269b1029913969000456a0d7,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00037.bin,256,557056,8acf9d0161e66ae9ad823c34af0f0a5d8a2f6ecb4c5a63d5be2409c1e2279275,npy1,3bc7e7b7160a2b661eac93061099cfe4815aa85aca143300c3711718f1dfa8f0,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00038.bin,256,557056,5a5709966051eb1b0a698158277b59605bdb4c9e6a022f93b943b614d4d003fe,npy1,0edeee5a47a92f512db0f6f51d79714126ea73df6c1c4f97938e3b63b07ad10c,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00039.bin,256,557056,d383a3993114dc6fe4395356d38120649386d40ace8974462800d31f81b72bdc,npy1,05187af019406e215a510ae110daf7950ac337bd5717f1df1dc093926c49a4f9,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00040.bin,255,554880,44c01fae183e7334ec7aff9bca1352477adf9cf634e24e733a9cc4a39f50c510,npy1,3e4b3e7a2eeb1520e070eae64ba38c5dc8907d89ed938eab36093c7f7fca18f8,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00041.bin,256,557056,49dccf165005015cbcb3ff14f1ad10c308c2298b5ca4f1b58eb0db14c5a34d7f,npy1,b118955667dc169c98a1c14617ea5c0deb29ddc663d762840532ef82d5dfe2f0,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00042.bin,255,554880,9431cf74b5b9d888f2c89311b318450f330c1cbca1a80d57f0125367509109c0,npy1,f1190448ec1ed2f3fa2162f95584b64e383829af47db00afa7e2e8c350a0479b,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00043.bin,256,557056,e575de50867171715de351d2b482937729b05da011485a535d6d77ae13dfb509,npy1,8dc80e4e82fc9aede91e4c38180ff9a861ab33f6d2bd282426669e2ba16ef12c,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00044.bin,256,557056,bd67fb7c983a3f4f5859a0a357f8d499ae721613f8ef0d4decaea38bb42b92ce,npy1,9fdf8ce514b5d5e49df76362fede6514aa743fd86819e739f83260b60346252c,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00045.bin,256,557056,c67a1fa7284f784ec467e7695c20c80e927db0440aa2c28a63fb6d9eb5c03973,npy1,7d13fb39471435ada08c8ae9ae40d0d7e3278107a2e62a2da2788193bf2fb615,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00046.bin,256,557056,8546ab8222e1251128a85cfda6081d6f5cdeab620d5d0aad4cb17792898d8ab3,npy1,2f83e19bb9a6520032ccb71414de107405983dd91c126be0461d1d321035a55e,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00047.bin,256,557056,d232576553e03d8a300ae05e9fc07226b30d3af6d2dbe564581e6cc5fb600b9b,npy1,28cb83f5dfd6d9361fe872588f456c2de618bc2f5216142244a284b33560acbc,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00048.bin,256,557056,9ee9d5827f803b40c04cfaef5304c9f8d2073165781e12d5cbc4580570e824b7,npy1,4e3b43d733903a525216056f608d78226f66d4947d4e56e23879253fa0882760,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00049.bin,256,557056,1443158626d3a23c95bac6995cd4ab15217827b61a80169fc57827746a53f3be,npy1,543c2b70f099dc8400de80e75dc05de202588493be2a02ed7dc0caacd92d3aeb,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00050.bin,254,552704,144a222b0c99257e219337c964f48a64e16a34acb19d0d0fe1be00bd16ee6538,npy1,4aa1fec7d63395f6f9353b4271de505d7843530d96d05939ef90ee827f285ccb,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00051.bin,256,557056,f63dda5433f247850b95fb0947572aad1f25462570f16686db60cfb4fcd016a6,npy1,89e5ca898533565d834b71822c387f8199b121535a3f8bc8b97ac253eccfa0f0,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00052.bin,256,557056,b1aecd8b58cd817f9430b02075b4105007e41db1497d504d8f10c0970d22a98d,npy1,9c668a81ccc32cada1aedaceab225726f3f4bd64cd1d4f0f5fa7d2fd3fb86dc1,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00053.bin,256,557056,cf4d7bd0034e35266bc03c72aa2bd66f128bace2fc8ab6e8b4b46436b9aa1e72,npy1,0bd6d95f70ccb1d1e1075188ceaf75db122ceac16da06d0975e0374f53d59d92,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00054.bin,255,554880,9aa0e69701e6409bf478ef128492d8897d723f3afc7bf1be8797793f4fa893c2,npy1,7374617016ffbb6d4bf74f984c5a94bb96e5470634b021504e21b3232b667dac,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00055.bin,255,554880,e6f07f13ab7cdae579afa617126c9b123cea50128e59ec5e6ef5d81407139a92,npy1,a6ab0daf7bfefe9781a8502d9f3a205b07c825bc50e695b62632fa430db07bb5,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00056.bin,256,557056,5f97ec3a7f9e43c754f7da54b503bbd98eb73729e3806d17336e9ebf4f8f3c6d,npy1,0b5871bfa3aa81ac48d83641102a9d3d80949a9c8a64520d29b5d245ca967d16,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00057.bin,256,557056,fe31e7479cd98f5f5cfd7359e1f9995577f00b703bce1f5c5362c6aef7b241cc,npy1,6e3b7192576dabb937c3aa6820a5fe3fe23f17ca6e3a38cfd0aefd331df984bf,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00058.bin,256,557056,98f736f66e7deeb5fbb073d8ddb1ed991a8e95a8bc7acc2dbbc07abb046e1545,npy1,16ac9539e530185e38fe3c07135b77be40387842610661c13f543f359c223f8c,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00059.bin,256,557056,4fcd9af30902391d4e3095a0f4b3d670248a541852f6e22c809a6cce98b66d51,npy1,86d447aa72fec1f57afe2b66a95f8ff29f4af1554fdbf0f937f6949f1cc6e28c,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00060.bin,256,557056,33722beda81dfcae636c968f61905979b3b43391bf83b73082601194ef31678e,npy1,653ab290b4d45734c6a2cc888ed355d3221230bb47634a6333cd8b4890c01fb9,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00061.bin,256,557056,628496c84d29c45f00627e760df5c85e2cf8e034bfceaaf2b36f878b2c8fa559,npy1,e65d62aa6a1b90ec967f0efabb4eda61462b84cfcca99739dc58b578547bf5ee,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00062.bin,255,554880,1e72525bb09f1c31035a3d29ca6b60a4cf9178b027e1672547428c9a28abd790,npy1,07c28ceedef851530428874a2143954f60f00c90fa72adb527404eef2741bfeb,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00063.bin,256,557056,13ea85623b2d887843718b044d193b52f441ff3c8c687c0d07a25f93e31db195,npy1,0bb30d2b91e2625fc86b819abb4818b912f35fc3e58a617c2d6b742052e19067,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00064.bin,255,554880,273bbdf437720bbf34f835739bb188d55a9e2798e0a586825bda8cae7a67723d,npy1,85700a12afcc7b240735f247f281d49d6c2f73264a3c51efd1337784c24af096,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00065.bin,256,557056,d8469f40575e5f5e1c116b7e320a3954f6f4a990728be2fdebb5aa1e6d43fca1,npy1,c2d84515bcfc00caafa48a93dbeb2d20cbe63ccbd23d13b039588c764379d93e,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00066.bin,253,550528,ad3104a5051e2cedd0d06bca1bbf1f0039e9336c55314e0b2bd68147204b1b01,npy1,265daeb46b5408a7a5909a95b72c5e16569831d1ca2b1e56d7b35415e61b81d9,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00067.bin,256,557056,5ce7fb793814d23d9a90b8175fb1f9d18a0a9ae898d6c4e2ea1e8d366433c8b0,npy1,92c17ec28bfec2418a3a01b8a6ab5d833a0fe25e4027c04f801dc91612e43286,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00068.bin,256,557056,4b21883fd0a65b2d508f167d5f19423c42421d8cc3da896a45d21f428e70cacd,npy1,46dd42f63aac0c2d0ec10f2c7d4e396e95dd76bc502d15190dbfb96353c8e067,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00069.bin,256,557056,3dc4761ba23d4dc899d6c78bcb60fa89cbddc07b4f1762b8563284407e79fa13,npy1,a1eb383541fa6268111dc01efff51aa7220dd6d0f7e5021c45638fa330cb053c,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00070.bin,256,557056,8c2805a74d35cd1b38d6692e951d9a77c8da9d51b9470123af9c57e2aed97e85,npy1,d750775db1de5b827510af34c37e9b949ab8cb571bd3f853eb1dcb6053f2aa65,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00071.bin,255,554880,bb39c58d8defbff4e737bae2d5e20c62ce17462ac43dc0e1b9b2347c6be9fe13,npy1,15e04ca4df96c4300f2ecf8783d8ee273f35a78f66780b5c8b6c38af6b4736ab,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00072.bin,254,552704,75192ca93c9709b7320c85e01392141d63984226591b7b73c71d4041d39f5158,npy1,d77af477b52fa360020be891f9cc1fd165f4e6b2004c94ae89c6ced1abd6ba9d,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00073.bin,256,557056,d9ba82008be6a24613dcfc335135ff4955ffe87ea02bb14c453366925e660b15,npy1,9397c67201cee9975e182dce369dce9e05769e3aca35960bdf57563a555eea99,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00074.bin,256,557056,da71985dc3e4c7a6107de16cc26b2a32ab1dcb6c56abaac07c2ac1aefd143528,npy1,a60b6759d1264a720a2302fa5be39605edcf5ebdbc6a6b212e6e6bffeae30aea,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00075.bin,256,557056,80ef4a6fe7151862c0b33a7e93b7d4a565d32eb0be785a9b62b6999b788ac9e3,npy1,9590cd7262f077338da22f1814abcc88f7454f9a2be639044fedff3c1896ed8f,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00076.bin,256,557056,5d5e8c3cb11941ed3ce51ba7a3a93fb82fd573aa004d7c1695d1bfba2a8b7cdd,npy1,173273a8357463660871f43f7566f28faccf8197d6a9d333e3e3cad27bc8cd03,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00077.bin,256,557056,c290a1177f7daa4d4c79300b6004a7722a530b932ee53f0aded10468644fb54b,npy1,49b2bac6151589981653be01e3ca75a8adb4d955bbf426c5669539d2ccffd364,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00078.bin,256,557056,7904609c2f4341c8e8414156330a86bc5ec428107ae0e7c60d647d9ff450d3e5,npy1,d4c9d7cd126ab5787b3d12a8bba04f7aaf8f6040c7ffce7f7ec8813040f46798,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00079.bin,248,539648,61812ce420daa68cdc0019c39c5ffe858f8b9bca24e079d0b63849f0c93d5691,npy1,d6f2914156c917e74fdb4ee38f576978114e8bb2752b53b9f20a355fa0afc195,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00080.bin,157,341632,56a68f16a357e740a67ee083b87f1805af034c7710ed23fe866be71d2e1826fd,npy1,3df9f5dbfa60fb804a2eee60ad546510541dfbc12a89aaec0491ded74978ca89,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
landmarks_norm,geometry,landmarks_norm-00000.bin,256,172032,526f6398d70a9a1f11d084ac59ae1784875abd48a8df37764b2e6a2e5f54dce3,npy1,38f28a692cfbd035d2b4201751e124745899285fde03da9aaa1ed3daec8df578,/media/cong/Data/GPAT_TransferBench_runtime/cache/geometry/landmarks_norm
landmarks_norm,geometry,landmarks_norm-00001.bin,256,172032,97b90b0b1ba307b2536cb1e2b5860f087775d00873e22e27f9fed55cac97ec28,npy1,0f2c90a7d889d2d858125d93012fec17f78d518910d764fba20c6ad9049c76cd,/media/cong/Data/GPAT_TransferBench_runtime/cache/geometry/landmarks_norm
landmarks_norm,geometry,landmarks_norm-00002.bin,256,172032,adc2fe8f3e9a782300305b2da4003b5e71b5c54d0c443af16f183eb391ad18d3,npy1,1327159b317c07ac6b5c3721052be258ae8da56a4248a9395b4c43514f90db32,/media/cong/Data/GPAT_TransferBench_runtime/cache/geometry/landmarks_norm
landmarks_norm,geometry,landmarks_norm-00003.bin,256,172032,5f06429ec254d4ac06d7c983c055998960aa72b1abe01cd59aff9af5020b30cd,npy1,3723dd45ebf79f8e91b0fb5dacc99b8344cd31d76d79de48ef6f3a87619d96e2,/media/cong/Data/GPAT_TransferBench_runtime/cache/geometry/landmarks_norm
landmarks_norm,geometry,landmarks_norm-00004.bin,256,172032,5a572c1776452c3019fd4871e432b39e8767dbf305451a911de1ca22a71257be,npy1,c164ca69256be3e89595f6db5931b47413db231ab38ad34c619d8c455e77d17e,/media/cong/Data/GPAT_TransferBench_runtime/cache/geometry/landmarks_norm
landmarks_norm,geometry,landmarks_norm-00005.bin,256,172032,8bd13f756b101d9d3af06e6c9348d5cbdcb311b93a780610da54baff5e5098b2,npy1,f5d95fa8dcc005372a3a39b634c45ceda4738e1c673c599bc1b8bea6f3a19808,/media/cong/Data/GPAT_TransferBench_runtime/cache/geometry/landmarks_norm
landmarks_norm,geometry,landmarks_norm-00006.bin,256,172032,533beab326b7abc2b75f0e2bccfda35f1b47e0a94184d85ef024fa4b1396695e,npy1,e36dd1cd9b357636fe69e019276b6842225ab3a4f3b956c8b99dafebc8597e22,/media/cong/Data/GPAT_TransferBench_runtime/cache/geometry/landmarks_norm
landmarks_norm,geometry,landmarks_norm-00007.bin,256,172032,4b7cde3b3edb57020abd30a8b91245922b20bac3d0b78e5acb2a95ec1b564159,npy1,f1fdb822f30225c5ff630603ce5fff8cfd47fef5c1c37b5b5343a19a12d66765,/media/cong/Data/GPAT_TransferBench_runtime/cache/geometry/landmarks_norm
landmarks_norm,geometry,landmarks_norm-00008.bin,256,172032,334bf8427469bb865f28b0582d5ca110b977b22c48a29704772f956700309016,npy1,106f261826ae64fd7ea5472c1c4c8e434f27d18f08a0d60615302d982ada5aa3,/media/cong/Data/GPAT_TransferBench_runtime/cache/geometry/landmarks_norm
landmarks_norm,geometry,landmarks_norm-00009.bin,256,172032,666a9c62a654f35958a117aae7290fc0e1e292b6f72e3a57107abf02df8aa384,npy1,61a66f4637f4902455f6b6d619b8b944d016b5372f3a0cad3440858a33d62307,/media/cong/Data/GPAT_TransferBench_runtime/cache/geometry/landmarks_norm
landmarks_norm,geometry,landmarks_norm-00010.bin,256,172032,0577eb164de2a9ab1b0290dac134a6f09989990dd83a399631ef930f75812632,npy1,492857972fabe8121e7a630d6fd4f0444a50f8c2eaab97c610b37ae1b6691c57,/media/cong/Data/GPAT_TransferBench_runtime/cache/geometry/landmarks_norm
landmarks_norm,geometry,landmarks_norm-00011.bin,256,172032,a58bb2db6dd37683ec7c613ae10f8686c25bd222a807b3bd4417d02249e9246b,npy1,dd8c415dacb052f7bcd6b02b21684ffa64a7d947d7f3412a1a3070537b0b1a1b,/media/cong/Data/GPAT_TransferBench_runtime/cache/geometry/landmarks_norm
landmarks_norm,geometry,landmarks_norm-00012.bin,256,172032,b09758c280240db8c7fa83a6e56f4e317dd5075c9e33ccdc779d09f91613ecf7,npy1,9ec4b6a62a4b822ecde00618278286725878f844c0cf714c788fda49a0eaf6a3,/media/cong/Data/GPAT_TransferBench_runtime/cache/geometry/landmarks_norm
